vote_2020,age,Age_group,state,race,vote_trump,vote_Biden
Joe Biden,62,61 to 80,NC,White,0,1
Donald Trump,21,21 to 40,PA,White,1,0
Joe Biden,44,41 to 60,CT,Other race,0,1
Donald Trump,33,21 to 40,TN,"Black, or African American",1,0
Donald Trump,52,41 to 60,NJ,White,1,0
Donald Trump,58,41 to 60,TN,White,1,0
Joe Biden,60,41 to 60,IL,White,0,1
Joe Biden,40,21 to 40,CT,White,0,1
Joe Biden,61,61 to 80,WI,White,0,1
Donald Trump,76,61 to 80,MA,White,1,0
Joe Biden,37,21 to 40,FL,White,0,1
Joe Biden,67,61 to 80,VT,White,0,1
Joe Biden,28,21 to 40,NY,White,0,1
Donald Trump,28,21 to 40,KY,White,1,0
Donald Trump,62,61 to 80,MD,White,1,0
Joe Biden,68,61 to 80,MO,White,0,1
Donald Trump,52,41 to 60,FL,White,1,0
Joe Biden,73,61 to 80,MT,White,0,1
Joe Biden,38,21 to 40,WI,"Black, or African American",0,1
Donald Trump,61,61 to 80,IL,White,1,0
Joe Biden,63,61 to 80,MO,White,0,1
Donald Trump,67,61 to 80,TX,White,1,0
Donald Trump,60,41 to 60,OH,White,1,0
Joe Biden,52,41 to 60,TN,"Black, or African American",0,1
Joe Biden,25,21 to 40,UT,White,0,1
Joe Biden,44,41 to 60,MN,White,0,1
Joe Biden,74,61 to 80,SC,White,0,1
Donald Trump,65,61 to 80,GA,White,1,0
Joe Biden,39,21 to 40,CA,White,0,1
Donald Trump,50,41 to 60,VA,White,1,0
Donald Trump,68,61 to 80,WV,White,1,0
Joe Biden,18,20 or less,FL,White,0,1
Donald Trump,55,41 to 60,MI,White,1,0
Donald Trump,56,41 to 60,NE,White,1,0
Donald Trump,51,41 to 60,MI,White,1,0
Donald Trump,27,21 to 40,NC,White,1,0
Joe Biden,62,61 to 80,AZ,White,0,1
Donald Trump,73,61 to 80,TN,White,1,0
Joe Biden,55,41 to 60,MA,White,0,1
Donald Trump,58,41 to 60,IL,White,1,0
Joe Biden,66,61 to 80,CA,White,0,1
Joe Biden,74,61 to 80,NY,White,0,1
Donald Trump,33,21 to 40,CO,White,1,0
Joe Biden,37,21 to 40,HI,Japanese,0,1
Joe Biden,63,61 to 80,CA,White,0,1
Donald Trump,41,41 to 60,CA,White,1,0
Donald Trump,54,41 to 60,NY,White,1,0
Joe Biden,41,41 to 60,DC,"Black, or African American",0,1
Joe Biden,73,61 to 80,FL,White,0,1
Donald Trump,44,41 to 60,TX,White,1,0
Donald Trump,44,41 to 60,NY,White,1,0
Donald Trump,40,21 to 40,GA,White,1,0
Joe Biden,23,21 to 40,NY,"Black, or African American",0,1
Joe Biden,32,21 to 40,OH,White,0,1
Joe Biden,39,21 to 40,CO,White,0,1
Joe Biden,32,21 to 40,NJ,White,0,1
Joe Biden,57,41 to 60,IL,White,0,1
Donald Trump,32,21 to 40,MN,"Black, or African American",1,0
Donald Trump,54,41 to 60,MO,White,1,0
Joe Biden,42,41 to 60,CA,Other race,0,1
Joe Biden,18,20 or less,CA,White,0,1
Donald Trump,56,41 to 60,PA,White,1,0
Donald Trump,42,41 to 60,CA,White,1,0
Joe Biden,70,61 to 80,AZ,White,0,1
Joe Biden,48,41 to 60,CA,White,0,1
Joe Biden,40,21 to 40,MO,"Black, or African American",0,1
Joe Biden,57,41 to 60,WI,White,0,1
Donald Trump,40,21 to 40,NY,White,1,0
Joe Biden,38,21 to 40,PA,White,0,1
Joe Biden,27,21 to 40,NY,White,0,1
Joe Biden,38,21 to 40,MN,White,0,1
Joe Biden,34,21 to 40,NH,White,0,1
Joe Biden,38,21 to 40,MI,White,0,1
Joe Biden,21,21 to 40,CO,White,0,1
